epoch,enable_rewire,tau,keep_rate,lambda2_norm_est,dirichlet_mean,lambda2_slack,dual_lambda2,loss,train_acc,val_acc,test_acc
1,0,1.0,1.0,nan,nan,-0.25980982184410095,0.0,1.612375259399414,0.22161172330379486,0.24417009949684143,0.22368420660495758
2,0,1.0,1.0,nan,nan,-0.17700311541557312,0.0,1.5727744102478027,0.24450549483299255,0.2606309950351715,0.24122807383537292
3,0,1.0,1.0,nan,nan,-0.143123060464859,0.0,1.5155994892120361,0.3452380895614624,0.36213991045951843,0.3464912176132202
4,0,1.0,1.0,nan,nan,-0.2690306603908539,0.0,1.4569171667099,0.5888278484344482,0.46364882588386536,0.5065789222717285
5,0,1.0,1.0,nan,nan,-0.12927745282649994,0.0,1.3834511041641235,0.6217948794364929,0.46364882588386536,0.49780702590942383
6,0,1.0,1.0,nan,nan,-0.33148637413978577,0.0,1.2983970642089844,0.6657509207725525,0.4855967164039612,0.5065789222717285
7,0,1.0,1.0,nan,nan,-0.14403194189071655,0.0,1.2236478328704834,0.6822344064712524,0.48834019899368286,0.5021929740905762
8,0,1.0,1.0,nan,nan,-0.14611878991127014,0.0,1.1551945209503174,0.6913919448852539,0.5006858706474304,0.5131579041481018
9,0,1.0,1.0,nan,nan,-0.25978466868400574,0.0,1.0675302743911743,0.7060439586639404,0.5061728358268738,0.5065789222717285
10,0,1.0,1.0,nan,nan,-0.28952834010124207,0.0,1.0022164583206177,0.7252747416496277,0.5034293532371521,0.5087719559669495
11,1,1.0,0.4865932762622833,nan,nan,-0.23731087148189545,0.0,0.9458981156349182,0.7271062135696411,0.47736626863479614,0.49780702590942383
12,1,1.0,0.479015976190567,nan,nan,-0.14994065463542938,0.0,0.8722079396247864,0.7628205418586731,0.48834019899368286,0.5043859481811523
13,1,1.0,0.4623630940914154,nan,nan,-0.11630763858556747,0.0,0.8403885960578918,0.7930402755737305,0.49519890546798706,0.5021929740905762
14,1,1.0,0.4301157593727112,nan,nan,-0.19104164838790894,0.0,0.7581921219825745,0.8150182962417603,0.49794238805770874,0.5021929740905762
15,1,1.0,0.3743082284927368,0.2402494251728058,4.425140380859375,-0.26896047592163086,0.0,0.7039613723754883,0.860805869102478,0.4993141293525696,0.5043859481811523
16,1,1.0,0.28320956230163574,nan,nan,-0.12821587920188904,0.0,0.6466292142868042,0.8763736486434937,0.5102880597114563,0.5021929740905762
17,1,1.0,0.16912075877189636,nan,nan,-0.1617986559867859,0.0,0.5761879682540894,0.9047619104385376,0.5281206965446472,0.5087719559669495
18,1,1.0,0.06912854313850403,nan,nan,-0.16049867868423462,0.0,0.5074347257614136,0.9084249138832092,0.5336076617240906,0.5285087823867798
19,1,1.0,0.019739944487810135,nan,nan,-0.09658480435609818,0.0,0.4629565179347992,0.9322344064712524,0.5377228856086731,0.5372806787490845
20,1,1.0,0.004833196755498648,0.16739490628242493,0.05437340587377548,-0.1061711460351944,0.0,0.42325592041015625,0.9139193892478943,0.5144032835960388,0.5065789222717285
21,1,1.0,0.0014203874161466956,nan,nan,0.04085246101021767,0.0,0.4001803696155548,0.9276556968688965,0.5089163184165955,0.5043859481811523
22,1,1.0,0.0004962850362062454,nan,nan,0.06969095021486282,0.0,0.37621021270751953,0.9478021860122681,0.5267489552497864,0.4912280738353729
23,1,1.0,0.00023700659221503884,nan,nan,0.11707723140716553,0.0,0.3553192615509033,0.9386447072029114,0.5390946269035339,0.4868420958518982
24,1,1.0,0.00017144184675998986,nan,nan,0.11815799027681351,0.0006696884520351887,0.3008492588996887,0.946886420249939,0.554183840751648,0.5065789222717285
25,1,1.0,0.00019361506565473974,-0.10864980518817902,0.00024183784262277186,0.12756666541099548,0.0019663237035274506,0.3026282787322998,0.9642857313156128,0.5418381094932556,0.5285087823867798
26,1,1.0,0.0003347616584505886,nan,nan,0.1259307712316513,0.004749510902911425,0.27458205819129944,0.9652014374732971,0.5363511443138123,0.5285087823867798
27,1,1.0,0.000750915496610105,nan,nan,0.11823561042547226,0.007347994018346071,0.24609360098838806,0.9523809552192688,0.5253772139549255,0.5219298005104065
28,1,1.0,0.0017113378271460533,nan,nan,0.10761179774999619,0.008804422803223133,0.23372602462768555,0.9578754305839539,0.5349794030189514,0.5263158082962036
29,1,1.0,0.0035417964681982994,nan,nan,0.08516591787338257,0.008804422803223133,0.22300544381141663,0.9642857313156128,0.5322359204292297,0.5285087823867798
30,1,1.0,0.0061602345667779446,-0.08037576824426651,0.00803710799664259,0.014923600479960442,0.008804422803223133,0.20098088681697845,0.970695972442627,0.5445815920829773,0.530701756477356
31,1,1.0,0.00942379143089056,nan,nan,-0.15171758830547333,0.009778025560081005,0.17487487196922302,0.976190447807312,0.5582990646362305,0.5372806787490845
32,1,1.0,0.01368886511772871,nan,nan,-0.1310601532459259,0.009778025560081005,0.17902326583862305,0.9734432101249695,0.5637860298156738,0.5350877046585083
33,1,1.0,0.018607717007398605,nan,nan,-0.11086657643318176,0.009778025560081005,0.19966617226600647,0.9752747416496277,0.5651577711105347,0.5394737124443054
34,1,1.0,0.022747045382857323,nan,nan,-0.2645843029022217,0.009778025560081005,0.17839626967906952,0.9835164546966553,0.5610425472259521,0.5482456088066101
35,1,1.0,0.024928629398345947,0.18660104274749756,0.09765231609344482,-0.17285031080245972,0.009778025560081005,0.16734088957309723,0.982600748538971,0.5514403581619263,0.5285087823867798
36,1,1.0,0.024786656722426414,nan,nan,-0.2586395740509033,0.009778025560081005,0.16596616804599762,0.9798534512519836,0.5377228856086731,0.5219298005104065
