epoch,enable_rewire,tau,keep_rate,lambda2_norm_est,dirichlet_mean,lambda2_cvar,budget_violation_lo,budget_violation_hi,spectral_violation,dual_budget_lo,dual_budget_hi,dual_spectral,loss,train_acc,val_acc,test_acc
1,0,1.0,1.0,nan,nan,nan,nan,nan,nan,nan,nan,nan,1.6110632419586182,0.22069597244262695,0.24417009949684143,0.22368420660495758
2,0,1.0,1.0,nan,nan,nan,nan,nan,nan,nan,nan,nan,1.5732485055923462,0.22069597244262695,0.24417009949684143,0.22368420660495758
3,0,1.0,1.0,nan,nan,nan,nan,nan,nan,nan,nan,nan,1.516249179840088,0.38553112745285034,0.3676268756389618,0.3552631437778473
4,0,1.0,1.0,nan,nan,nan,nan,nan,nan,nan,nan,nan,1.4381784200668335,0.5384615659713745,0.39780521392822266,0.43421053886413574
5,0,1.0,1.0,nan,nan,nan,nan,nan,nan,nan,nan,nan,1.3402990102767944,0.598901093006134,0.4554183781147003,0.46710526943206787
6,0,1.0,1.0,nan,nan,nan,nan,nan,nan,nan,nan,nan,1.2252250909805298,0.6501831412315369,0.47050753235816956,0.47587719559669495
7,0,1.0,1.0,nan,nan,nan,nan,nan,nan,nan,nan,nan,1.121452808380127,0.6932234168052673,0.4897119402885437,0.4649122953414917
8,0,1.0,1.0,nan,nan,nan,nan,nan,nan,nan,nan,nan,1.0089035034179688,0.7179487347602844,0.5144032835960388,0.5065789222717285
9,0,1.0,1.0,nan,nan,nan,nan,nan,nan,nan,nan,nan,0.9098442792892456,0.7152014374732971,0.4924554228782654,0.49780702590942383
10,0,1.0,1.0,nan,nan,nan,nan,nan,nan,nan,nan,nan,0.8109276294708252,0.7417582273483276,0.49519890546798706,0.5021929740905762
11,0,1.0,1.0,nan,nan,nan,nan,nan,nan,nan,nan,nan,0.7708534598350525,0.7866300344467163,0.5144032835960388,0.5241228342056274
12,0,1.0,1.0,nan,nan,nan,nan,nan,nan,nan,nan,nan,0.670744776725769,0.8049450516700745,0.5157750248908997,0.5219298005104065
13,0,1.0,1.0,nan,nan,nan,nan,nan,nan,nan,nan,nan,0.613791823387146,0.8269230723381042,0.5198902487754822,0.5197368264198303
14,0,1.0,1.0,nan,nan,nan,nan,nan,nan,nan,nan,nan,0.565309464931488,0.8580586314201355,0.5267489552497864,0.530701756477356
15,0,1.0,1.0,nan,nan,nan,nan,nan,nan,nan,nan,nan,0.5202324986457825,0.8736263513565063,0.5308641791343689,0.530701756477356
16,0,1.0,1.0,nan,nan,nan,nan,nan,nan,nan,nan,nan,0.4911150336265564,0.8644688725471497,0.5198902487754822,0.5350877046585083
17,0,1.0,1.0,nan,nan,nan,nan,nan,nan,nan,nan,nan,0.4410856068134308,0.8782051205635071,0.521261990070343,0.5372806787490845
18,0,1.0,1.0,nan,nan,nan,nan,nan,nan,nan,nan,nan,0.42273280024528503,0.8956043720245361,0.5102880597114563,0.5416666865348816
19,0,1.0,1.0,nan,nan,nan,nan,nan,nan,nan,nan,nan,0.40611568093299866,0.9001831412315369,0.5089163184165955,0.5394737124443054
20,0,1.0,1.0,nan,nan,nan,nan,nan,nan,nan,nan,nan,0.3812495768070221,0.9102563858032227,0.5157750248908997,0.5350877046585083
32,1,1.0,0.9986169338226318,nan,nan,0.18057341873645782,0.0,0.0,0.019426584243774414,0.0012487494386732578,0.0,0.0021057487465441227,0.24066409468650818,0.9496337175369263,0.49794238805770874,0.5197368264198303
21,1,1.0,0.7076654434204102,nan,nan,0.24632079899311066,0.0,0.0,0.0,0.0026266127824783325,0.0,0.0,0.3498836159706116,0.918498158454895,0.5089163184165955,0.530701756477356
33,1,1.0,0.9987320899963379,nan,nan,0.20010313391685486,0.0,0.0,0.0,0.0012487494386732578,0.0,0.0021392139606177807,0.2332330048084259,0.9532967209815979,0.4897119402885437,0.5043859481811523
22,1,1.0,0.8376714587211609,nan,nan,0.2070063352584839,0.0,0.0,0.0,0.0026266127824783325,0.0,0.0,0.32638123631477356,0.9285714030265808,0.5020576119422913,0.5394737124443054
34,1,1.0,0.9986755847930908,nan,nan,0.16361859440803528,0.0,0.0,0.03638140857219696,0.0012487494386732578,0.0,0.0021392139606177807,0.22484005987644196,0.9340659379959106,0.4965706467628479,0.4934210479259491
23,1,1.0,0.9001297354698181,nan,nan,0.22469763457775116,0.0,0.0,0.0,0.0026266127824783325,0.0,0.0,0.31325143575668335,0.9111721515655518,0.5034293532371521,0.515350878238678
35,1,1.0,0.9985867142677307,0.2275099754333496,104.05055236816406,0.20142468810081482,0.0,0.0,0.0,0.0012487494386732578,0.0,0.002820276655256748,0.21529105305671692,0.9322344064712524,0.5075445771217346,0.48245614767074585
