epoch,enable_rewire,tau,keep_rate,lambda2_norm_est,dirichlet_mean,loss,train_acc,val_acc,test_acc
1,0,1.0,1.0,nan,nan,1.6229679584503174,0.2490842491388321,0.26474621891975403,0.2434210479259491
2,0,1.0,1.0,nan,nan,1.589002013206482,0.30494505167007446,0.32510289549827576,0.27412280440330505
3,0,1.0,1.0,nan,nan,1.5431050062179565,0.42490842938423157,0.40740740299224854,0.38596490025520325
4,0,1.0,1.0,nan,nan,1.4891072511672974,0.5586080551147461,0.4540466368198395,0.4429824650287628
5,0,1.0,1.0,nan,nan,1.4156588315963745,0.622710645198822,0.47736626863479614,0.4780701696872711
6,1,0.7886596550360331,0.45382124185562134,0.1455543488264084,1.2638040781021118,1.3478878736495972,0.6364468932151794,0.46639230847358704,0.46710526943206787
7,1,0.9424581479084366,0.45385271310806274,0.20994248986244202,1.968483805656433,1.252798080444336,0.6776556968688965,0.478738009929657,0.4802631437778473
8,1,0.7329449355402119,0.4536113739013672,0.19288302958011627,2.722622871398926,1.165055751800537,0.7152014374732971,0.5198902487754822,0.5065789222717285
9,1,0.6257043555047337,0.452101469039917,0.1612880676984787,3.152524471282959,1.0795965194702148,0.7335164546966553,0.5294924378395081,0.5109649300575256
10,1,0.6807659789289889,0.45166850090026855,0.1493900865316391,3.4602057933807373,1.008298635482788,0.7747252583503723,0.5349794030189514,0.5241228342056274
11,1,0.6194518752911804,0.45165950059890747,0.2610327899456024,3.784214496612549,0.917975127696991,0.7930402755737305,0.5637860298156738,0.5526315569877625
12,1,0.6287343874841924,0.4514887034893036,0.25521335005760193,3.8442275524139404,0.864268958568573,0.8168498277664185,0.5692729949951172,0.5701754093170166
13,1,0.5812875616768431,0.4512638449668884,0.3102956712245941,3.4924495220184326,0.8224287033081055,0.8635531067848206,0.5528120994567871,0.5570175647735596
14,1,0.5639123679691349,0.45114395022392273,0.5155600905418396,3.2572946548461914,0.807111918926239,0.8690476417541504,0.5637860298156738,0.5657894611358643
15,1,0.6871733358590427,0.4512764811515808,0.2637300193309784,3.0395286083221436,0.6917352676391602,0.8708791136741638,0.554183840751648,0.5679824352264404
16,1,0.7602563380659413,0.4513867497444153,0.19790270924568176,2.8184869289398193,0.6511214971542358,0.9029303789138794,0.5459533333778381,0.5548245906829834
17,1,0.6787190586391311,0.4516196846961975,0.25697144865989685,2.675015687942505,0.6254340410232544,0.9221611618995667,0.547325074672699,0.5219298005104065
18,1,0.7155847908376836,0.45165443420410156,0.27263522148132324,2.6531460285186768,0.5756138563156128,0.9075091481208801,0.5500686168670654,0.5065789222717285
19,1,0.5884362192484425,0.4515838027000427,0.3284588158130646,2.779557466506958,0.5444568395614624,0.91300368309021,0.5336076617240906,0.5021929740905762
20,1,0.601701088833492,0.45133325457572937,0.324590265750885,2.982712745666504,0.5086445212364197,0.9139193892478943,0.5377228856086731,0.515350878238678
21,1,0.62023180970282,0.4509144425392151,0.17937257885932922,3.129354238510132,0.48369354009628296,0.9285714030265808,0.5528120994567871,0.5131579041481018
22,1,0.6242836128880822,0.4507240056991577,0.3104036748409271,3.196221113204956,0.4539085328578949,0.9377289414405823,0.554183840751648,0.5285087823867798
23,1,0.5433890905755758,0.45070311427116394,0.18026775121688843,3.185850143432617,0.44069865345954895,0.9514651894569397,0.5500686168670654,0.5241228342056274
24,1,0.5519523749849512,0.4510047137737274,0.19834192097187042,3.1441876888275146,0.40943682193756104,0.9560439586639404,0.5486968159675598,0.530701756477356
25,1,0.4580319036657159,0.45143836736679077,0.18450318276882172,3.098740816116333,0.3875359892845154,0.9569597244262695,0.5569273233413696,0.5109649300575256
