epoch,enable_rewire,tau,keep_rate,lambda2_norm_est,dirichlet_mean,loss,train_acc,val_acc,test_acc
1,0,1.0,1.0,nan,nan,1.6272941827774048,0.4633699655532837,0.39094650745391846,0.3662280738353729
2,0,1.0,1.0,nan,nan,1.5830079317092896,0.2747252881526947,0.2880658507347107,0.26096490025520325
3,0,1.0,1.0,nan,nan,1.5528063774108887,0.369047611951828,0.3292181193828583,0.3004385828971863
4,0,1.0,1.0,nan,nan,1.5010313987731934,0.5540292859077454,0.4417009651660919,0.4736842215061188
5,0,1.0,1.0,nan,nan,1.4274128675460815,0.5924908518791199,0.45679011940956116,0.46710526943206787
6,0,1.0,1.0,nan,nan,1.3375574350357056,0.6327838897705078,0.48834019899368286,0.47587719559669495
7,0,1.0,1.0,nan,nan,1.2726761102676392,0.6767399311065674,0.521261990070343,0.49561402201652527
8,0,1.0,1.0,nan,nan,1.1966630220413208,0.696886420249939,0.5404663681983948,0.5021929740905762
9,0,1.0,1.0,nan,nan,1.1221195459365845,0.6886447072029114,0.5267489552497864,0.49780702590942383
10,0,1.0,1.0,nan,nan,1.0554594993591309,0.7014651894569397,0.5281206965446472,0.48245614767074585
11,0,1.0,1.0,nan,nan,1.0118861198425293,0.7115384340286255,0.5075445771217346,0.4736842215061188
12,0,1.0,1.0,nan,nan,0.9532566666603088,0.7179487347602844,0.5048010945320129,0.46710526943206787
13,0,1.0,1.0,nan,nan,0.9066617488861084,0.75,0.5144032835960388,0.49561402201652527
14,0,1.0,1.0,nan,nan,0.8414977788925171,0.7967032790184021,0.5390946269035339,0.5175438523292542
15,0,1.0,1.0,nan,nan,0.821253776550293,0.8049450516700745,0.4993141293525696,0.49780702590942383
16,0,1.0,1.0,nan,nan,0.7810201048851013,0.7609890103340149,0.4759945273399353,0.48245614767074585
17,0,1.0,1.0,nan,nan,0.7600803971290588,0.8205128312110901,0.4691357910633087,0.4780701696872711
18,0,1.0,1.0,nan,nan,0.6926431655883789,0.8864468932151794,0.5061728358268738,0.515350878238678
19,0,1.0,1.0,nan,nan,0.688765287399292,0.8873626589775085,0.4924554228782654,0.5021929740905762
20,0,1.0,1.0,nan,nan,0.6433377861976624,0.8653846383094788,0.49519890546798706,0.49780702590942383
21,0,1.0,1.0,nan,nan,0.6169522404670715,0.8717948794364929,0.4924554228782654,0.49561402201652527
22,0,1.0,1.0,nan,nan,0.6018336415290833,0.8965201377868652,0.5171467661857605,0.5175438523292542
23,0,1.0,1.0,nan,nan,0.5691550970077515,0.930402934551239,0.5198902487754822,0.5175438523292542
24,0,1.0,1.0,nan,nan,0.5480605363845825,0.9413919448852539,0.521261990070343,0.48903509974479675
25,0,1.0,1.0,nan,nan,0.5303252339363098,0.9395604133605957,0.5116598010063171,0.5
26,0,1.0,1.0,nan,nan,0.5137614011764526,0.942307710647583,0.5006858706474304,0.5065789222717285
27,0,1.0,1.0,nan,nan,0.48694100975990295,0.9459707140922546,0.5144032835960388,0.5131579041481018
28,0,1.0,1.0,nan,nan,0.48055166006088257,0.9532967209815979,0.5116598010063171,0.5460526347160339
29,0,1.0,1.0,nan,nan,0.4594711661338806,0.9560439586639404,0.5185185074806213,0.5526315569877625
30,0,1.0,1.0,nan,nan,0.4354647994041443,0.9624541997909546,0.5226337313652039,0.5416666865348816
31,1,0.8229083404857986,0.4774250388145447,0.27202823758125305,1.7712370157241821,0.3981231153011322,0.9688644409179688,0.5185185074806213,0.5285087823867798
32,1,0.7197195527298701,0.4774750769138336,0.29746338725090027,1.836789608001709,0.3924507796764374,0.971611738204956,0.5294924378395081,0.5219298005104065
33,1,0.5544283549928851,0.4776780605316162,0.26842233538627625,1.9764012098312378,0.37437164783477783,0.9734432101249695,0.5294924378395081,0.5241228342056274
34,1,0.5420285929470678,0.47787997126579285,0.2412969172000885,2.137084722518921,0.33856943249702454,0.9734432101249695,0.5432098507881165,0.5285087823867798
35,1,0.4905306705745663,0.4780152142047882,0.21514049172401428,2.268035650253296,0.32325270771980286,0.9734432101249695,0.5377228856086731,0.5263158082962036
36,1,0.6170679280538471,0.47801974415779114,0.2761557102203369,2.3280906677246094,0.30797210335731506,0.9780219793319702,0.5322359204292297,0.5285087823867798
37,1,0.5346045843485465,0.47794297337532043,0.2622159421443939,2.366321086883545,0.30792176723480225,0.9789377450942993,0.5432098507881165,0.5285087823867798
38,1,0.4101627463341539,0.4777497351169586,0.33496254682540894,2.369967460632324,0.2775349020957947,0.9780219793319702,0.5377228856086731,0.5109649300575256
39,1,0.3664762236986545,0.4776681363582611,0.19707652926445007,2.3907439708709717,0.2877429127693176,0.9816849827766418,0.5390946269035339,0.5263158082962036
40,1,0.3429969669373765,0.4775621294975281,0.1948576122522354,2.368267297744751,0.27641764283180237,0.9844322204589844,0.5349794030189514,0.5328947305679321
41,1,0.6085732990012956,0.4774476885795593,0.22382144629955292,2.32708740234375,0.2814792990684509,0.9844322204589844,0.5322359204292297,0.5438596606254578
42,1,0.6826477542248772,0.47755104303359985,0.1901891678571701,2.307771682739258,0.26029127836227417,0.9853479862213135,0.5459533333778381,0.5592105388641357
43,1,0.5667605837545601,0.4777117371559143,0.3565853536128998,2.2436721324920654,0.24993684887886047,0.9862637519836426,0.547325074672699,0.5482456088066101
44,1,0.5947688398183255,0.4778193235397339,0.26552242040634155,2.1369845867156982,0.25653594732284546,0.9871794581413269,0.5514403581619263,0.5482456088066101
45,1,0.5131133839498956,0.4778439700603485,0.13247552514076233,2.0232720375061035,0.2305094450712204,0.9871794581413269,0.5363511443138123,0.5350877046585083
46,1,0.4710988410490281,0.4777522087097168,0.2711077332496643,1.9325621128082275,0.23458877205848694,0.988095223903656,0.5322359204292297,0.5197368264198303
47,1,0.40594614348813185,0.4776674509048462,0.24408495426177979,1.9094337224960327,0.22829937934875488,0.9899267554283142,0.5253772139549255,0.5285087823867798
48,1,0.3297363183135202,0.47761034965515137,0.32095664739608765,1.93014657497406,0.21239182353019714,0.9908424615859985,0.5432098507881165,0.5526315569877625
49,1,0.46027548019997455,0.47762152552604675,0.25646087527275085,1.9728671312332153,0.21455447375774384,0.9908424615859985,0.5363511443138123,0.5745614171028137
