epoch,enable_rewire,tau,keep_rate,lambda2_norm_est,dirichlet_mean,loss,train_acc,val_acc,test_acc
1,0,1.0,1.0,nan,nan,1.622318148612976,0.22275641560554504,0.20492789149284363,0.21421709656715393
2,0,1.0,1.0,nan,nan,1.6006128787994385,0.24078525602817535,0.2265625,0.22670508921146393
3,0,1.0,1.0,nan,nan,1.5795613527297974,0.29326921701431274,0.26442307233810425,0.2718539834022522
4,0,1.0,1.0,nan,nan,1.548203945159912,0.4346955120563507,0.33774039149284363,0.35446685552597046
5,0,1.0,1.0,nan,nan,1.5168977975845337,0.4947916567325592,0.35576921701431274,0.36599424481391907
6,0,1.0,1.0,nan,nan,1.4825891256332397,0.5240384340286255,0.36358171701431274,0.37367916107177734
7,0,1.0,1.0,nan,nan,1.4471337795257568,0.5849359035491943,0.37379807233810425,0.3765609860420227
8,0,1.0,1.0,nan,nan,1.3993070125579834,0.6225961446762085,0.37379807233810425,0.3823246955871582
9,0,1.0,1.0,nan,nan,1.3471717834472656,0.6530448794364929,0.3725961446762085,0.3775216042995453
10,0,1.0,1.0,nan,nan,1.3022985458374023,0.6790865659713745,0.3852163553237915,0.38520652055740356
11,0,1.0,1.0,nan,nan,1.2404228448867798,0.71875,0.3876201808452606,0.38712775707244873
12,0,1.0,1.0,nan,nan,1.1797435283660889,0.7504006624221802,0.39182692766189575,0.3900096118450165
13,0,1.0,1.0,nan,nan,1.131049394607544,0.7696313858032227,0.3876201808452606,0.38424593210220337
14,0,1.0,1.0,nan,nan,1.0748629570007324,0.7944711446762085,0.3936298191547394,0.3938520550727844
15,0,1.0,1.0,nan,nan,1.004295825958252,0.8137019276618958,0.38882210850715637,0.4024975895881653
16,0,1.0,1.0,nan,nan,0.9647203087806702,0.8357371687889099,0.38401442766189575,0.39769452810287476
17,0,1.0,1.0,nan,nan,0.9251150488853455,0.8481570482254028,0.3954326808452606,0.4015369713306427
18,0,1.0,1.0,nan,nan,0.8793719410896301,0.8681890964508057,0.39423078298568726,0.3996157646179199
19,0,1.0,1.0,nan,nan,0.8142227530479431,0.8818109035491943,0.3990384638309479,0.39289143681526184
20,0,1.0,1.0,nan,nan,0.7858351469039917,0.8942307829856873,0.38641828298568726,0.394812673330307
21,0,1.0,1.0,nan,nan,0.7509907484054565,0.90625,0.38942307233810425,0.39865514636039734
22,0,1.0,1.0,nan,nan,0.7083038091659546,0.9130609035491943,0.39242789149284363,0.4005763828754425
23,0,1.0,1.0,nan,nan,0.6717108488082886,0.9134615659713745,0.39242789149284363,0.394812673330307
24,0,1.0,1.0,nan,nan,0.6321952939033508,0.9310897588729858,0.3822115361690521,0.39097023010253906
25,0,1.0,1.0,nan,nan,0.5973389148712158,0.9435096383094788,0.38942307233810425,0.39289143681526184
26,0,1.0,1.0,nan,nan,0.5733557343482971,0.9515224099159241,0.38161057233810425,0.3900096118450165
27,0,1.0,1.0,nan,nan,0.5418342351913452,0.9595352411270142,0.3858173191547394,0.394812673330307
28,0,1.0,1.0,nan,nan,0.5215370059013367,0.9603365659713745,0.38161057233810425,0.3890489935874939
29,0,1.0,1.0,nan,nan,0.5002076029777527,0.9611378312110901,0.38100960850715637,0.39193084836006165
30,0,1.0,1.0,nan,nan,0.4740305244922638,0.9667468070983887,0.38401442766189575,0.394812673330307
31,1,1.775,0.4886265993118286,nan,nan,0.416803777217865,0.9723557829856873,0.3798076808452606,0.3765609860420227
32,1,1.7674999999999998,0.4884559214115143,nan,nan,0.4034990072250366,0.9751602411270142,0.38161057233810425,0.3756003975868225
33,1,1.76,0.4883074164390564,nan,nan,0.3886265456676483,0.973557710647583,0.3858173191547394,0.38040345907211304
34,1,1.7525,0.4882090985774994,nan,nan,0.3529139459133148,0.9739583134651184,0.38100960850715637,0.38712775707244873
35,1,1.7449999999999999,0.4881724417209625,0.41771551966667175,1.9602675437927246,0.34343552589416504,0.9763621687889099,0.37379807233810425,0.3957732915878296
36,1,1.7374999999999998,0.48820018768310547,nan,nan,0.3544313311576843,0.9811698794364929,0.3822115361690521,0.3938520550727844
37,1,1.7300000000000002,0.488168865442276,nan,nan,0.3274499475955963,0.9839743375778198,0.3876201808452606,0.38520652055740356
38,1,1.7225,0.48821762204170227,nan,nan,0.32538697123527527,0.9847756624221802,0.39182692766189575,0.37848222255706787
39,1,1.715,0.48836809396743774,nan,nan,0.3059411346912384,0.9851762652397156,0.38701921701431274,0.3813640773296356
40,1,1.7074999999999998,0.48853203654289246,0.4856426417827606,1.9201539754867554,0.30502083897590637,0.9859775900840759,0.3774038553237915,0.38712775707244873
41,1,1.7000000000000002,0.4886089563369751,nan,nan,0.3013148009777069,0.9875801205635071,0.3780048191547394,0.38616713881492615
42,1,1.6925000000000001,0.4886872172355652,nan,nan,0.2901519536972046,0.9895833134651184,0.38100960850715637,0.3775216042995453
43,1,1.685,0.48875874280929565,nan,nan,0.2802242040634155,0.989182710647583,0.3822115361690521,0.37848222255706787
44,1,1.6775,0.4888039529323578,nan,nan,0.25186556577682495,0.9887820482254028,0.3780048191547394,0.38040345907211304
45,1,1.6700000000000002,0.48873937129974365,0.42195889353752136,1.6876459121704102,0.2744191288948059,0.9899839758872986,0.3695913553237915,0.38616713881492615
46,1,1.6625,0.48861995339393616,nan,nan,0.260358065366745,0.9895833134651184,0.3719951808452606,0.39289143681526184
47,1,1.655,0.48848944902420044,nan,nan,0.26784399151802063,0.9887820482254028,0.3780048191547394,0.3967339098453522
