epoch,enable_rewire,tau,keep_rate,lambda2_norm_est,dirichlet_mean,loss,train_acc,val_acc,test_acc
1,0,1.0,1.0,nan,nan,1.6367474794387817,0.2239583283662796,0.2109375,0.22094140946865082
2,0,1.0,1.0,nan,nan,1.6014562845230103,0.2572115361690521,0.25,0.24303553998470306
3,0,1.0,1.0,nan,nan,1.5879608392715454,0.3225160241127014,0.28004807233810425,0.28146013617515564
4,0,1.0,1.0,nan,nan,1.5574349164962769,0.37099358439445496,0.3070913553237915,0.30451488494873047
5,0,1.0,1.0,nan,nan,1.5289759635925293,0.4006410241127014,0.3125,0.3102785646915436
6,0,1.0,1.0,nan,nan,1.5003654956817627,0.42628204822540283,0.32692307233810425,0.3256484270095825
7,0,1.0,1.0,nan,nan,1.4663259983062744,0.48317307233810425,0.34555289149284363,0.3342939615249634
8,0,1.0,1.0,nan,nan,1.4217774868011475,0.5260416865348816,0.34495192766189575,0.3275696337223053
9,0,1.0,1.0,nan,nan,1.383718729019165,0.5508813858032227,0.34194710850715637,0.3285302519798279
10,0,1.0,1.0,nan,nan,1.3417673110961914,0.5741186141967773,0.3359375,0.3390970230102539
11,0,1.0,1.0,nan,nan,1.3014544248580933,0.6233974099159241,0.3461538553237915,0.34966379404067993
12,0,1.0,1.0,nan,nan,1.2609416246414185,0.6887019276618958,0.38161057233810425,0.36119115352630615
13,0,1.0,1.0,nan,nan,1.1998398303985596,0.7179487347602844,0.39242789149284363,0.3832853138446808
14,0,1.0,1.0,nan,nan,1.1560940742492676,0.7403846383094788,0.38641828298568726,0.3775216042995453
15,0,1.0,1.0,nan,nan,1.1096830368041992,0.7572115659713745,0.38942307233810425,0.369836688041687
16,0,1.0,1.0,nan,nan,1.0680774450302124,0.7768429517745972,0.3960336446762085,0.37271854281425476
17,0,1.0,1.0,nan,nan,1.0251057147979736,0.7928686141967773,0.3858173191547394,0.3775216042995453
18,0,1.0,1.0,nan,nan,0.9708749651908875,0.8129006624221802,0.3876201808452606,0.38616713881492615
19,0,1.0,1.0,nan,nan,0.9295404553413391,0.8325320482254028,0.38461539149284363,0.3756003975868225
20,0,1.0,1.0,nan,nan,0.8904525637626648,0.8473557829856873,0.38942307233810425,0.3823246955871582
21,0,1.0,1.0,nan,nan,0.8465198278427124,0.8589743375778198,0.38641828298568726,0.3957732915878296
22,0,1.0,1.0,nan,nan,0.8195119500160217,0.8741987347602844,0.3852163553237915,0.39289143681526184
23,0,1.0,1.0,nan,nan,0.7866548299789429,0.8890224099159241,0.3822115361690521,0.3823246955871582
24,0,1.0,1.0,nan,nan,0.7430270314216614,0.8958333134651184,0.38942307233810425,0.38520652055740356
25,0,1.0,1.0,nan,nan,0.7017649412155151,0.9030448794364929,0.3858173191547394,0.38520652055740356
26,0,1.0,1.0,nan,nan,0.6789030432701111,0.9058493375778198,0.3858173191547394,0.38616713881492615
27,0,1.0,1.0,nan,nan,0.6451478600502014,0.9154647588729858,0.3822115361690521,0.38616713881492615
28,0,1.0,1.0,nan,nan,0.6239398717880249,0.9294871687889099,0.3828125,0.37848222255706787
29,0,1.0,1.0,nan,nan,0.5999057292938232,0.9431089758872986,0.3852163553237915,0.3900096118450165
30,0,1.0,1.0,nan,nan,0.566105306148529,0.9447115659713745,0.3822115361690521,0.3832853138446808
31,1,1.775,0.49084189534187317,0.7407432198524475,1.6546478271484375,0.5019280910491943,0.9495192170143127,0.38401442766189575,0.38616713881492615
32,1,1.7674999999999998,0.4911968410015106,0.5184891223907471,1.7596995830535889,0.4775395095348358,0.9503205418586731,0.37319710850715637,0.37944284081459045
33,1,1.76,0.49121764302253723,0.563123881816864,1.908889889717102,0.4649708569049835,0.957932710647583,0.37860578298568726,0.37367916107177734
34,1,1.7525,0.4910772740840912,0.5877713561058044,2.061321496963501,0.4450206160545349,0.9611378312110901,0.3876201808452606,0.3746397793292999
35,1,1.7449999999999999,0.4909706711769104,0.647810697555542,2.168790102005005,0.4193306267261505,0.9635416865348816,0.390625,0.37944284081459045
36,1,1.7374999999999998,0.4909120202064514,0.5318557024002075,2.176539897918701,0.4140033721923828,0.9647436141967773,0.3930288553237915,0.3765609860420227
37,1,1.7300000000000002,0.4908091127872467,0.6910004019737244,2.0919032096862793,0.4005979299545288,0.9723557829856873,0.3912259638309479,0.38040345907211304
38,1,1.7225,0.4907422363758087,0.5822713375091553,1.9877101182937622,0.37876802682876587,0.9771634340286255,0.37620192766189575,0.3746397793292999
39,1,1.715,0.4906368553638458,0.7243603467941284,1.8764121532440186,0.36117124557495117,0.979567289352417,0.3774038553237915,0.3717579245567322
40,1,1.7074999999999998,0.490524560213089,0.654348611831665,1.784745693206787,0.36037036776542664,0.9803686141967773,0.37620192766189575,0.37944284081459045
41,1,1.7000000000000002,0.4905027151107788,0.5537493228912354,1.7275561094284058,0.341757595539093,0.9811698794364929,0.3798076808452606,0.38040345907211304
42,1,1.6925000000000001,0.4905044734477997,0.5482117533683777,1.7252507209777832,0.33054739236831665,0.9819711446762085,0.38161057233810425,0.3746397793292999
43,1,1.685,0.49047279357910156,0.48743611574172974,1.7636284828186035,0.3299054205417633,0.9823718070983887,0.37860578298568726,0.3823246955871582
44,1,1.6775,0.49044278264045715,0.5539159774780273,1.8042799234390259,0.3055555820465088,0.984375,0.38100960850715637,0.38424593210220337
45,1,1.6700000000000002,0.4905201494693756,0.4820786416530609,1.8275368213653564,0.31182289123535156,0.9847756624221802,0.37319710850715637,0.38040345907211304
46,1,1.6625,0.4906561076641083,0.5342149138450623,1.8446449041366577,0.30235087871551514,0.9855769276618958,0.37319710850715637,0.38424593210220337
47,1,1.655,0.490726113319397,0.5333266258239746,1.855708360671997,0.2964771091938019,0.9859775900840759,0.3725961446762085,0.37944284081459045
48,1,1.6475,0.4906686246395111,0.4628213346004486,1.8850114345550537,0.26774635910987854,0.9863781929016113,0.3743990361690521,0.3823246955871582
49,1,1.6400000000000001,0.4906613826751709,0.5722808837890625,1.9267946481704712,0.2845070958137512,0.9883813858032227,0.37139421701431274,0.38040345907211304
50,1,1.6325,0.49068400263786316,0.4492727816104889,1.9104821681976318,0.28742051124572754,0.9915865659713745,0.3719951808452606,0.38424593210220337
51,1,1.625,0.49073106050491333,0.5475698113441467,1.8588694334030151,0.27468788623809814,0.9915865659713745,0.37139421701431274,0.38712775707244873
52,1,1.6175,0.49072885513305664,0.4125555157661438,1.772750973701477,0.2702169418334961,0.9919871687889099,0.37379807233810425,0.3900096118450165
53,1,1.6099999999999999,0.49071118235588074,0.6503582000732422,1.6793534755706787,0.24858912825584412,0.9915865659713745,0.3756009638309479,0.39289143681526184
54,1,1.6025,0.49070388078689575,0.4961988031864166,1.6091364622116089,0.2685677707195282,0.9919871687889099,0.37379807233810425,0.3890489935874939
55,1,1.595,0.49069398641586304,0.4353504180908203,1.580162525177002,0.25053590536117554,0.9923878312110901,0.3701923191547394,0.38520652055740356
56,1,1.5875,0.49073588848114014,0.5728475451469421,1.5611649751663208,0.249359130859375,0.9927884340286255,0.36598557233810425,0.3890489935874939
57,1,1.58,0.4907875061035156,0.6270521283149719,1.5257854461669922,0.2473514974117279,0.9927884340286255,0.3641826808452606,0.38712775707244873
58,1,1.5725000000000002,0.4907045364379883,0.5263544917106628,1.5084325075149536,0.2504301965236664,0.9927884340286255,0.36838942766189575,0.3823246955871582
59,1,1.565,0.4905708432197571,0.5826469659805298,1.5022075176239014,0.23944191634655,0.9923878312110901,0.37319710850715637,0.38424593210220337
60,1,1.5575,0.49046871066093445,0.649350643157959,1.498579502105713,0.2475023865699768,0.9919871687889099,0.3743990361690521,0.38712775707244873
61,1,1.5499999999999998,0.4904130697250366,0.47755494713783264,1.5031514167785645,0.2324962615966797,0.9923878312110901,0.37379807233810425,0.37367916107177734
62,1,1.5425000000000002,0.49043360352516174,0.45671626925468445,1.498099446296692,0.24102799594402313,0.9923878312110901,0.3695913553237915,0.37271854281425476
63,1,1.535,0.49044468998908997,0.5411674380302429,1.4935970306396484,0.22018930315971375,0.9927884340286255,0.36598557233810425,0.3765609860420227
64,1,1.5275,0.49042564630508423,0.5336350202560425,1.4738295078277588,0.2286766767501831,0.9923878312110901,0.37620192766189575,0.38616713881492615
65,1,1.5199999999999998,0.490332692861557,0.5201945900917053,1.4691777229309082,0.2304391860961914,0.9919871687889099,0.3822115361690521,0.3832853138446808
