epoch,enable_rewire,tau,keep_rate,lambda2_norm_est,dirichlet_mean,lambda2_cvar,budget_violation,spectral_violation,dual_budget,dual_spectral,loss,train_acc,val_acc,test_acc
1,0,1.0,1.0,nan,nan,nan,nan,nan,nan,nan,1.6120693683624268,0.22069597244262695,0.24417009949684143,0.22368420660495758
2,0,1.0,1.0,nan,nan,nan,nan,nan,nan,nan,1.5687707662582397,0.22069597244262695,0.24417009949684143,0.22368420660495758
3,0,1.0,1.0,nan,nan,nan,nan,nan,nan,nan,1.5114773511886597,0.40934064984321594,0.3443072736263275,0.30263158679008484
4,0,1.0,1.0,nan,nan,nan,nan,nan,nan,nan,1.4292103052139282,0.5256410241127014,0.4170095920562744,0.4232456088066101
5,0,1.0,1.0,nan,nan,nan,nan,nan,nan,nan,1.3346024751663208,0.6199633479118347,0.4677640497684479,0.46710526943206787
6,0,1.0,1.0,nan,nan,nan,nan,nan,nan,nan,1.224857211112976,0.6309523582458496,0.47050753235816956,0.4495614171028137
7,0,1.0,1.0,nan,nan,nan,nan,nan,nan,nan,1.1383112668991089,0.6364468932151794,0.4622770845890045,0.4517543911933899
8,0,1.0,1.0,nan,nan,nan,nan,nan,nan,nan,1.0496487617492676,0.6538461446762085,0.4801097512245178,0.4714912176132202
9,0,1.0,1.0,nan,nan,nan,nan,nan,nan,nan,0.9551552534103394,0.6858974099159241,0.5034293532371521,0.4912280738353729
10,0,1.0,1.0,nan,nan,nan,nan,nan,nan,nan,0.887065589427948,0.7197802066802979,0.5240054726600647,0.515350878238678
11,0,1.0,1.0,nan,nan,nan,nan,nan,nan,nan,0.8057130575180054,0.7866300344467163,0.5569273233413696,0.5635964870452881
12,0,1.0,1.0,nan,nan,nan,nan,nan,nan,nan,0.7442087531089783,0.7847985625267029,0.5377228856086731,0.5570175647735596
13,0,1.0,1.0,nan,nan,nan,nan,nan,nan,nan,0.7092357277870178,0.8287546038627625,0.5692729949951172,0.5635964870452881
