epoch,enable_rewire,tau,keep_rate,lambda2_norm_est,dirichlet_mean,lambda2_cvar,budget_violation,spectral_violation,dual_budget,dual_spectral,loss,train_acc,val_acc,test_acc
1,0,1.0,1.0,nan,nan,nan,nan,nan,nan,nan,1.6121975183486938,0.22252747416496277,0.24417009949684143,0.22368420660495758
2,0,1.0,1.0,nan,nan,nan,nan,nan,nan,nan,1.5642462968826294,0.27747252583503723,0.25514402985572815,0.25
3,0,1.0,1.0,nan,nan,nan,nan,nan,nan,nan,1.4974167346954346,0.4670329689979553,0.37722909450531006,0.4013157784938812
4,0,1.0,1.0,nan,nan,nan,nan,nan,nan,nan,1.3916528224945068,0.5265567898750305,0.4224965572357178,0.445175439119339
5,0,1.0,1.0,nan,nan,nan,nan,nan,nan,nan,1.2953457832336426,0.6190476417541504,0.47736626863479614,0.48245614767074585
6,0,1.0,1.0,nan,nan,nan,nan,nan,nan,nan,1.1741857528686523,0.6355311274528503,0.46639230847358704,0.45394736528396606
7,0,1.0,1.0,nan,nan,nan,nan,nan,nan,nan,1.0749849081039429,0.6355311274528503,0.4746227562427521,0.4714912176132202
8,0,1.0,1.0,nan,nan,nan,nan,nan,nan,nan,0.983068585395813,0.6694139242172241,0.49108368158340454,0.48245614767074585
9,0,1.0,1.0,nan,nan,nan,nan,nan,nan,nan,0.8870167136192322,0.6996337175369263,0.5075445771217346,0.5131579041481018
10,0,1.0,1.0,nan,nan,nan,nan,nan,nan,nan,0.8166940212249756,0.7289377450942993,0.5089163184165955,0.515350878238678
11,0,1.0,1.0,nan,nan,nan,nan,nan,nan,nan,0.7388667464256287,0.7994505763053894,0.5390946269035339,0.530701756477356
12,0,1.0,1.0,nan,nan,nan,nan,nan,nan,nan,0.6666845083236694,0.8278388381004333,0.5582990646362305,0.5614035129547119
13,0,1.0,1.0,nan,nan,nan,nan,nan,nan,nan,0.635794997215271,0.8305860757827759,0.5418381094932556,0.5526315569877625
14,0,1.0,1.0,nan,nan,nan,nan,nan,nan,nan,0.5844188332557678,0.8553113341331482,0.562414288520813,0.5592105388641357
15,0,1.0,1.0,nan,nan,nan,nan,nan,nan,nan,0.5205996632575989,0.8809523582458496,0.570644736289978,0.5811403393745422
16,0,1.0,1.0,nan,nan,nan,nan,nan,nan,nan,0.5021358132362366,0.8974359035491943,0.5761317014694214,0.5921052694320679
17,0,1.0,1.0,nan,nan,nan,nan,nan,nan,nan,0.4498342275619507,0.901098906993866,0.5843621492385864,0.5921052694320679
18,0,1.0,1.0,nan,nan,nan,nan,nan,nan,nan,0.38969579339027405,0.906593382358551,0.5679012537002563,0.5921052694320679
19,0,1.0,1.0,nan,nan,nan,nan,nan,nan,nan,0.39836421608924866,0.9194139242172241,0.5816186666488647,0.5745614171028137
20,0,1.0,1.0,nan,nan,nan,nan,nan,nan,nan,0.3644486367702484,0.9358974099159241,0.5747599601745605,0.5767543911933899
21,1,1.0,0.5038516521453857,nan,nan,0.18031847476959229,0.0,0.0,0.0,0.0,0.36680102348327637,0.9331501722335815,0.5692729949951172,0.5592105388641357
22,1,1.0,0.4575628936290741,nan,nan,0.20440685749053955,0.0,0.0,0.0,0.0,0.34298524260520935,0.9358974099159241,0.5733882188796997,0.5701754093170166
23,1,1.0,0.3746151030063629,nan,nan,0.14753974974155426,0.0,0.0,0.0,0.0,0.3312210142612457,0.9340659379959106,0.5843621492385864,0.5526315569877625
24,1,1.0,0.32010820508003235,nan,nan,0.20862561464309692,0.0,0.0,0.0,0.0,0.30774620175361633,0.9478021860122681,0.5788751840591431,0.5548245906829834
25,1,1.0,0.2721232771873474,0.26922544836997986,11.663657188415527,0.19108453392982483,0.0,0.0,0.0,0.0,0.29212257266044617,0.9487179517745972,0.5651577711105347,0.5614035129547119
26,1,1.0,0.26893380284309387,nan,nan,0.1719379425048828,0.0,0.0,0.0,0.0,0.2656337320804596,0.9496337175369263,0.570644736289978,0.5570175647735596
27,1,1.0,0.29799118638038635,nan,nan,0.18645313382148743,0.0,0.0,0.0,0.0,0.23411327600479126,0.9578754305839539,0.5747599601745605,0.5592105388641357
28,1,1.0,0.32155758142471313,nan,nan,0.16695064306259155,0.0,0.0,0.0,0.0,0.23825478553771973,0.9560439586639404,0.5816186666488647,0.5657894611358643
29,1,1.0,0.35268911719322205,nan,nan,0.18808841705322266,0.0,0.0,0.0,0.0,0.20902235805988312,0.958791196346283,0.5775034427642822,0.5592105388641357
30,1,1.0,0.3652164936065674,0.1768982857465744,15.694823265075684,0.2405986785888672,0.0,0.0,0.0,0.0,0.19827954471111298,0.9606227278709412,0.5775034427642822,0.5614035129547119
31,1,1.0,0.38230860233306885,nan,nan,0.19211134314537048,0.0,0.0,0.0,0.0,0.19497135281562805,0.9688644409179688,0.5857338905334473,0.5657894611358643
32,1,1.0,0.3882344663143158,nan,nan,0.2080528438091278,0.0,0.0,0.0,0.0,0.17214836180210114,0.9752747416496277,0.5802469253540039,0.5679824352264404
33,1,1.0,0.3964984118938446,nan,nan,0.1994454264640808,0.0,0.0,0.0,0.0,0.15633134543895721,0.976190447807312,0.5720164775848389,0.5592105388641357
34,1,1.0,0.4155571162700653,nan,nan,0.25223401188850403,0.0,0.0,0.0,0.0,0.1672549992799759,0.9780219793319702,0.5871056318283081,0.5657894611358643
35,1,1.0,0.43535539507865906,0.25709354877471924,22.978588104248047,0.1656133085489273,0.0,0.0,0.0,0.0,0.14818648993968964,0.9734432101249695,0.5816186666488647,0.5482456088066101
36,1,1.0,0.45428869128227234,nan,nan,0.18907803297042847,0.0,0.0,0.0,0.0,0.15473508834838867,0.970695972442627,0.5775034427642822,0.5438596606254578
37,1,1.0,0.4708821773529053,nan,nan,0.18343089520931244,0.0,0.0,0.0,0.0,0.1354558914899826,0.9771062135696411,0.5816186666488647,0.5526315569877625
38,1,1.0,0.48048871755599976,nan,nan,0.18421432375907898,0.0,0.0,0.0,0.0,0.12636059522628784,0.9780219793319702,0.5857338905334473,0.5482456088066101
39,1,1.0,0.47477248311042786,nan,nan,0.22111785411834717,0.0,0.0,0.0,0.0,0.13795551657676697,0.9835164546966553,0.5857338905334473,0.5614035129547119
40,1,1.0,0.4725877046585083,0.2536561191082001,30.971271514892578,0.28456586599349976,0.0,0.0,0.0,0.0,0.11199723929166794,0.982600748538971,0.5747599601745605,0.5504385828971863
41,1,1.0,0.49269813299179077,nan,nan,0.17457765340805054,0.0,0.0,0.0,0.0,0.13718047738075256,0.982600748538971,0.5788751840591431,0.5504385828971863
42,1,1.0,0.5126401782035828,nan,nan,0.20369505882263184,0.0,0.0,0.0,0.0,0.12641671299934387,0.9862637519836426,0.588477373123169,0.5592105388641357
43,1,1.0,0.5289615988731384,nan,nan,0.13171017169952393,0.0,0.0,0.0,0.0,0.123623326420784,0.9862637519836426,0.588477373123169,0.5570175647735596
44,1,1.0,0.5478322505950928,nan,nan,0.18406257033348083,0.0,0.0,0.0,0.0,0.11764749884605408,0.9853479862213135,0.5843621492385864,0.5526315569877625
45,1,1.0,0.5580702424049377,0.23123931884765625,38.639217376708984,0.21372893452644348,0.0,0.0,0.0,0.0,0.10233724862337112,0.9871794581413269,0.5857338905334473,0.5482456088066101
46,1,1.0,0.5673782825469971,nan,nan,0.19219741225242615,0.0,0.0,0.0,0.0,0.12000348418951035,0.988095223903656,0.5843621492385864,0.5570175647735596
47,1,1.0,0.5755495429039001,nan,nan,0.15991263091564178,0.0,0.0,0.0,0.0,0.11768050491809845,0.988095223903656,0.5871056318283081,0.5526315569877625
48,1,1.0,0.5787384510040283,nan,nan,0.2134072482585907,0.0,0.0,0.0,0.0,0.1150922104716301,0.9899267554283142,0.5829904079437256,0.5614035129547119
49,1,1.0,0.5878810286521912,nan,nan,0.17940407991409302,0.0,0.0,0.0,0.0,0.10683620721101761,0.988095223903656,0.5802469253540039,0.5592105388641357
50,1,1.0,0.6101552248001099,0.1465979665517807,39.47039031982422,0.20371875166893005,0.0,0.0,0.0,0.0,0.12024412304162979,0.9908424615859985,0.5816186666488647,0.5635964870452881
51,1,1.0,0.6302788853645325,nan,nan,0.17281952500343323,0.0,0.0,0.0,0.0,0.09293591976165771,0.9890109896659851,0.5829904079437256,0.5679824352264404
52,1,1.0,0.6482589840888977,nan,nan,0.16888147592544556,0.0,0.0,0.0,0.0,0.0801292285323143,0.9899267554283142,0.5761317014694214,0.5657894611358643
53,1,1.0,0.6621800661087036,nan,nan,0.1894288957118988,0.0,0.0,0.0,0.0,0.0838993564248085,0.9926739931106567,0.5829904079437256,0.5614035129547119
54,1,1.0,0.6739873886108398,nan,nan,0.20125561952590942,0.0,0.0,0.0,0.0,0.09167268872261047,0.9945054650306702,0.5720164775848389,0.5679824352264404
55,1,1.0,0.6882917284965515,0.179169163107872,46.58485412597656,0.2203103005886078,0.0,0.0,0.0,0.0,0.12955497205257416,0.9935897588729858,0.5761317014694214,0.5614035129547119
56,1,1.0,0.6976521611213684,nan,nan,0.2079305648803711,0.0,0.0,0.0,0.0,0.09340870380401611,0.9899267554283142,0.570644736289978,0.5570175647735596
57,1,1.0,0.7080448865890503,nan,nan,0.21905338764190674,0.0,0.0,0.0,0.0,0.09032648056745529,0.9908424615859985,0.5761317014694214,0.5657894611358643
58,1,1.0,0.7137578725814819,nan,nan,0.1990673840045929,0.0,0.0,0.0,0.0,0.10462401807308197,0.9899267554283142,0.5720164775848389,0.5657894611358643
59,1,1.0,0.7272371649742126,nan,nan,0.2095722109079361,0.0,0.0,0.0,0.0,0.08876548707485199,0.9926739931106567,0.5747599601745605,0.5657894611358643
60,1,1.0,0.7440006136894226,0.1729397475719452,48.76984786987305,0.21364113688468933,0.0,0.0,0.0,0.0,0.08421841263771057,0.9926739931106567,0.570644736289978,0.5614035129547119
61,1,1.0,0.76654052734375,nan,nan,0.20044922828674316,0.0,0.0,0.0,0.0,0.07838299870491028,0.9945054650306702,0.5775034427642822,0.5592105388641357
62,1,1.0,0.7878243923187256,nan,nan,0.19429951906204224,0.0,0.0,0.0,0.0,0.07437950372695923,0.9954212307929993,0.5857338905334473,0.5548245906829834
63,1,1.0,0.8067668676376343,nan,nan,0.18745817244052887,0.0,0.0,0.0,0.0,0.0900932252407074,0.9908424615859985,0.5912208557128906,0.5614035129547119
64,1,1.0,0.8244900703430176,nan,nan,0.1402106136083603,0.0,0.0,0.0,0.0,0.09899391978979111,0.9853479862213135,0.5912208557128906,0.5745614171028137
65,1,1.0,0.8353685140609741,0.28156518936157227,55.79506301879883,0.20529577136039734,0.0,0.0,0.0,0.0,0.1005435511469841,0.9890109896659851,0.5939643383026123,0.5745614171028137
66,1,1.0,0.8464174270629883,nan,nan,0.18203993141651154,0.0,0.0,0.0,0.0,0.12375018745660782,0.9945054650306702,0.5843621492385864,0.5723684430122375
67,1,1.0,0.857282280921936,nan,nan,0.16522791981697083,0.0,0.0,0.0,0.0,0.06784800440073013,0.9945054650306702,0.5665295124053955,0.5745614171028137
68,1,1.0,0.8667325973510742,nan,nan,0.20314665138721466,0.0,0.0,0.0,0.0,0.07632794976234436,0.9954212307929993,0.5637860298156738,0.5745614171028137
69,1,1.0,0.8778889179229736,nan,nan,0.21442794799804688,0.0,0.0,0.0,0.0,0.09160328656435013,0.9963369965553284,0.5651577711105347,0.5767543911933899
70,1,1.0,0.8893453478813171,0.2877149283885956,56.639801025390625,0.171330988407135,0.0,0.0,0.0,0.0,0.07855644822120667,0.9972527623176575,0.5720164775848389,0.5679824352264404
71,1,1.0,0.8987269997596741,nan,nan,0.19859668612480164,0.0,0.0,0.0,0.0,0.07780246436595917,0.9981684684753418,0.5871056318283081,0.5679824352264404
72,1,1.0,0.9075412154197693,nan,nan,0.1757366955280304,0.0,0.0,0.0,0.0,0.09458635747432709,0.9899267554283142,0.5980795621871948,0.5548245906829834
73,1,1.0,0.9144554138183594,nan,nan,0.16589084267616272,0.0,0.0,0.0,0.0,0.06653396785259247,0.9899267554283142,0.6035665273666382,0.5526315569877625
74,1,1.0,0.92081618309021,nan,nan,0.1821727752685547,0.0,0.0,0.0,0.0,0.0855100080370903,0.9890109896659851,0.5980795621871948,0.5614035129547119
75,1,1.0,0.9214780330657959,0.3364029824733734,57.053062438964844,0.17020279169082642,0.0,0.0,0.0,0.0,0.14233118295669556,0.9899267554283142,0.6076817512512207,0.5635964870452881
76,1,1.0,0.9196637868881226,nan,nan,0.1574925184249878,0.0,0.0,0.0,0.0,0.15715233981609344,0.9945054650306702,0.5912208557128906,0.5679824352264404
77,1,1.0,0.9189238548278809,nan,nan,0.18470017611980438,0.0,0.0,0.0,0.0,0.07601886242628098,0.9926739931106567,0.5692729949951172,0.5723684430122375
78,1,1.0,0.9181142449378967,nan,nan,0.19262325763702393,0.0,0.0,0.0,0.0,0.13100455701351166,0.9917582273483276,0.562414288520813,0.5592105388641357
79,1,1.0,0.9186770915985107,nan,nan,0.15734145045280457,0.0,0.0,0.0,0.0,0.11999025195837021,0.9926739931106567,0.570644736289978,0.5679824352264404
80,1,1.0,0.9179966449737549,0.1888219118118286,51.694549560546875,0.18031582236289978,0.0,0.0,0.0,0.0,0.08705125749111176,0.9954212307929993,0.5816186666488647,0.5745614171028137
81,1,1.0,0.9168556928634644,nan,nan,0.18182092905044556,0.0,0.0,0.0,0.0,0.11693769693374634,0.9917582273483276,0.588477373123169,0.5592105388641357
82,1,1.0,0.915890097618103,nan,nan,0.157892107963562,0.0,0.0,0.0,0.0,0.07404220849275589,0.9899267554283142,0.5980795621871948,0.5679824352264404
83,1,1.0,0.9130403995513916,nan,nan,0.1811980903148651,0.0,0.0,0.0,0.0,0.10213403403759003,0.9798534512519836,0.5912208557128906,0.5482456088066101
