epoch,enable_rewire,tau,keep_rate,lambda2_norm_est,dirichlet_mean,lambda2_cvar,budget_violation_lo,budget_violation_hi,spectral_violation,dual_budget_lo,dual_budget_hi,dual_spectral,loss,train_acc,val_acc,test_acc
41,1,1.0,0.9642683267593384,nan,nan,0.15764036774635315,0.0,0.0,0.04235963523387909,0.0013876032317057252,0.0,0.03175375238060951,0.16221749782562256,0.9816849827766418,0.5377228856086731,0.5372806787490845
42,1,1.0,0.9727147817611694,nan,nan,0.15110433101654053,0.0,0.0,0.04889567196369171,0.0013876032317057252,0.0,0.03273872286081314,0.15422239899635315,0.9807692170143127,0.5555555820465088,0.5350877046585083
43,1,1.0,0.9774776101112366,nan,nan,0.12693175673484802,0.0,0.0,0.07306824624538422,0.0013876032317057252,0.0,0.03429552540183067,0.1155092641711235,0.9697802066802979,0.5637860298156738,0.5197368264198303
44,1,1.0,0.9804896712303162,nan,nan,0.1545812338590622,0.0,0.0,0.045418769121170044,0.0013876032317057252,0.0,0.03558369353413582,0.12630021572113037,0.9679487347602844,0.5500686168670654,0.5197368264198303
45,1,1.0,0.9835200905799866,0.15576744079589844,81.50292205810547,0.12703704833984375,0.0,0.0,0.07296295464038849,0.0013876032317057252,0.0,0.03635502979159355,0.11951404809951782,0.9679487347602844,0.5418381094932556,0.5285087823867798
46,1,1.0,0.9858026504516602,nan,nan,0.1255410760641098,0.0,0.0,0.07445892691612244,0.0013876032317057252,0.0,0.03780529275536537,0.14585603773593903,0.9835164546966553,0.547325074672699,0.5285087823867798
47,1,1.0,0.9869908094406128,nan,nan,0.16151100397109985,0.0,0.0,0.038488999009132385,0.0013876032317057252,0.0,0.038905251771211624,0.12535254657268524,0.9844322204589844,0.5404663681983948,0.5285087823867798
48,1,1.0,0.9876695275306702,nan,nan,0.13570038974285126,0.0,0.0,0.06429961323738098,0.0013876032317057252,0.0,0.0402463935315609,0.1326766461133957,0.9835164546966553,0.5445815920829773,0.5219298005104065
49,1,1.0,0.9893956780433655,nan,nan,0.1442597210407257,0.0,0.0,0.05574028193950653,0.0013876032317057252,0.0,0.04138777032494545,0.1273970901966095,0.9844322204589844,0.5363511443138123,0.5328947305679321
50,1,1.0,0.9912297129631042,0.18937097489833832,79.96116638183594,0.15788176655769348,0.0,0.0,0.04211823642253876,0.0013876032317057252,0.0,0.0425608791410923,0.1125183179974556,0.9807692170143127,0.5432098507881165,0.530701756477356
