epoch,enable_rewire,tau,keep_rate,lambda2_norm_est,dirichlet_mean,lambda2_cvar,budget_violation_lo,budget_violation_hi,spectral_violation,dual_budget_lo,dual_budget_hi,dual_spectral,loss,train_acc,val_acc,test_acc
1,0,1.0,1.0,nan,nan,nan,nan,nan,nan,nan,nan,nan,1.6151926517486572,0.22069597244262695,0.24417009949684143,0.22368420660495758
2,0,1.0,1.0,nan,nan,nan,nan,nan,nan,nan,nan,nan,1.5826990604400635,0.22069597244262695,0.24417009949684143,0.22368420660495758
3,0,1.0,1.0,nan,nan,nan,nan,nan,nan,nan,nan,nan,1.5284042358398438,0.3241758346557617,0.340192049741745,0.3114035129547119
4,0,1.0,1.0,nan,nan,nan,nan,nan,nan,nan,nan,nan,1.4364960193634033,0.5091575384140015,0.4307270348072052,0.42763158679008484
5,0,1.0,1.0,nan,nan,nan,nan,nan,nan,nan,nan,nan,1.3321533203125,0.6208791136741638,0.4801097512245178,0.4495614171028137
6,0,1.0,1.0,nan,nan,nan,nan,nan,nan,nan,nan,nan,1.2278050184249878,0.6666666865348816,0.5048010945320129,0.4649122953414917
7,0,1.0,1.0,nan,nan,nan,nan,nan,nan,nan,nan,nan,1.100093126296997,0.6877289414405823,0.5075445771217346,0.4868420958518982
8,0,1.0,1.0,nan,nan,nan,nan,nan,nan,nan,nan,nan,1.0020922422409058,0.721611738204956,0.521261990070343,0.49561402201652527
9,0,1.0,1.0,nan,nan,nan,nan,nan,nan,nan,nan,nan,0.9050372838973999,0.732600748538971,0.5294924378395081,0.48903509974479675
10,0,1.0,1.0,nan,nan,nan,nan,nan,nan,nan,nan,nan,0.8429644703865051,0.7463369965553284,0.5267489552497864,0.49561402201652527
11,0,1.0,1.0,nan,nan,nan,nan,nan,nan,nan,nan,nan,0.7413578033447266,0.7838827967643738,0.5336076617240906,0.5131579041481018
12,0,1.0,1.0,nan,nan,nan,nan,nan,nan,nan,nan,nan,0.6848475933074951,0.7939560413360596,0.5253772139549255,0.5109649300575256
13,0,1.0,1.0,nan,nan,nan,nan,nan,nan,nan,nan,nan,0.6183472275733948,0.8397436141967773,0.5404663681983948,0.5109649300575256
14,0,1.0,1.0,nan,nan,nan,nan,nan,nan,nan,nan,nan,0.57415372133255,0.8498168587684631,0.5377228856086731,0.5197368264198303
15,0,1.0,1.0,nan,nan,nan,nan,nan,nan,nan,nan,nan,0.5146711468696594,0.860805869102478,0.521261990070343,0.5065789222717285
16,0,1.0,1.0,nan,nan,nan,nan,nan,nan,nan,nan,nan,0.4627951383590698,0.8644688725471497,0.5102880597114563,0.5109649300575256
17,0,1.0,1.0,nan,nan,nan,nan,nan,nan,nan,nan,nan,0.44940516352653503,0.8846153616905212,0.5240054726600647,0.5175438523292542
18,0,1.0,1.0,nan,nan,nan,nan,nan,nan,nan,nan,nan,0.402018666267395,0.8956043720245361,0.513031542301178,0.5219298005104065
19,0,1.0,1.0,nan,nan,nan,nan,nan,nan,nan,nan,nan,0.3987090587615967,0.8992673754692078,0.5034293532371521,0.5087719559669495
20,0,1.0,1.0,nan,nan,nan,nan,nan,nan,nan,nan,nan,0.39157935976982117,0.9075091481208801,0.513031542301178,0.515350878238678
21,1,1.0,0.5035373568534851,nan,nan,nan,0.0964626669883728,0.0,nan,0.0013197341468185186,0.0,0.0,0.3318190574645996,0.9148351550102234,0.5171467661857605,0.5219298005104065
22,1,1.0,0.5664179921150208,nan,nan,nan,0.03358203172683716,0.0,nan,0.002140461001545191,0.0,0.0,0.3243086636066437,0.9139193892478943,0.5185185074806213,0.5263158082962036
23,1,1.0,0.6079968214035034,nan,nan,nan,0.0,0.0,nan,0.0022841528989374638,0.0,0.0,0.31956028938293457,0.9294871687889099,0.5102880597114563,0.5263158082962036
24,1,1.0,0.673909068107605,nan,nan,nan,0.0,0.0,nan,0.0022841528989374638,0.0,0.0,0.28117555379867554,0.9413919448852539,0.5116598010063171,0.5372806787490845
25,1,1.0,0.7349004745483398,0.2382666915655136,67.06673431396484,nan,0.0,0.0,nan,0.0022841528989374638,0.0,0.0,0.27412495017051697,0.9377289414405823,0.5020576119422913,0.5219298005104065
26,1,1.0,0.8036417961120605,nan,nan,nan,0.0,0.0,nan,0.0022841528989374638,0.0,0.0,0.23932527005672455,0.9386447072029114,0.4965706467628479,0.5263158082962036
27,1,1.0,0.8647369742393494,nan,nan,nan,0.0,0.0,nan,0.0022841528989374638,0.0,0.0,0.24262787401676178,0.9340659379959106,0.486968457698822,0.515350878238678
28,1,1.0,0.9167708158493042,nan,nan,nan,0.0,0.0,nan,0.0022841528989374638,0.0,0.0,0.22209234535694122,0.9358974099159241,0.486968457698822,0.5131579041481018
29,1,1.0,0.9523339867591858,nan,nan,nan,0.0,0.0,nan,0.0022841528989374638,0.0,0.0,0.22458644211292267,0.9395604133605957,0.486968457698822,0.515350878238678
30,1,1.0,0.9730850458145142,0.1688724011182785,84.2288589477539,nan,0.0,0.0,nan,0.0022841528989374638,0.0,0.0,0.2054065763950348,0.9551281929016113,0.4993141293525696,0.5065789222717285
31,1,1.0,0.9846459627151489,nan,nan,nan,0.0,0.0,nan,0.0022841528989374638,0.0,0.0,0.18786393105983734,0.9569597244262695,0.4965706467628479,0.5109649300575256
32,1,1.0,0.9905710816383362,nan,nan,nan,0.0,0.0,nan,0.0022841528989374638,0.0,0.0,0.18399488925933838,0.9514651894569397,0.5048010945320129,0.49561402201652527
33,1,1.0,0.9934144616127014,nan,nan,nan,0.0,0.0,nan,0.0022841528989374638,0.0,0.0,0.18273663520812988,0.946886420249939,0.49794238805770874,0.49780702590942383
34,1,1.0,0.9952127933502197,nan,nan,nan,0.0,0.0,nan,0.0022841528989374638,0.0,0.0,0.18238051235675812,0.9496337175369263,0.4965706467628479,0.5021929740905762
35,1,1.0,0.9961878657341003,0.16212423145771027,91.31211853027344,nan,0.0,0.0,nan,0.0022841528989374638,0.0,0.0,0.16333416104316711,0.9578754305839539,0.49794238805770874,0.5131579041481018
36,1,1.0,0.9968541860580444,nan,nan,nan,0.0,0.0,nan,0.0022841528989374638,0.0,0.0,0.18916159868240356,0.9642857313156128,0.5006858706474304,0.5241228342056274
37,1,1.0,0.9970869421958923,nan,nan,nan,0.0,0.0,nan,0.0022841528989374638,0.0,0.0,0.1783250868320465,0.9661172032356262,0.5034293532371521,0.49780702590942383
38,1,1.0,0.9968922138214111,nan,nan,nan,0.0,0.0,nan,0.0022841528989374638,0.0,0.0,0.17725645005702972,0.9670329689979553,0.5102880597114563,0.5065789222717285
39,1,1.0,0.9964506030082703,nan,nan,nan,0.0,0.0,nan,0.0022841528989374638,0.0,0.0,0.15882757306098938,0.9642857313156128,0.5089163184165955,0.5021929740905762
40,1,1.0,0.9956987500190735,0.16627128422260284,91.7080307006836,nan,0.0,0.0,nan,0.0022841528989374638,0.0,0.0,0.15709173679351807,0.9624541997909546,0.5075445771217346,0.5021929740905762
41,1,1.0,0.9944183826446533,nan,nan,nan,0.0,0.0,nan,0.0022841528989374638,0.0,0.0,0.15201491117477417,0.9606227278709412,0.5157750248908997,0.5065789222717285
42,1,1.0,0.9933528304100037,nan,nan,nan,0.0,0.0,nan,0.0022841528989374638,0.0,0.0,0.15031209588050842,0.9734432101249695,0.5102880597114563,0.5175438523292542
43,1,1.0,0.9919924736022949,nan,nan,nan,0.0,0.0,nan,0.0022841528989374638,0.0,0.0,0.14396779239177704,0.9734432101249695,0.5048010945320129,0.515350878238678
44,1,1.0,0.9906060695648193,nan,nan,nan,0.0,0.0,nan,0.0022841528989374638,0.0,0.0,0.13385049998760223,0.976190447807312,0.5075445771217346,0.5065789222717285
45,1,1.0,0.9871340394020081,0.28528615832328796,86.17707824707031,nan,0.0,0.0,nan,0.0022841528989374638,0.0,0.0,0.13391231000423431,0.9771062135696411,0.5075445771217346,0.5131579041481018
46,1,1.0,0.9836866855621338,nan,nan,nan,0.0,0.0,nan,0.0022841528989374638,0.0,0.0,0.12102930247783661,0.9789377450942993,0.5034293532371521,0.5175438523292542
47,1,1.0,0.9792360663414001,nan,nan,nan,0.0,0.0,nan,0.0022841528989374638,0.0,0.0,0.1252889484167099,0.9789377450942993,0.5089163184165955,0.5109649300575256
48,1,1.0,0.9738423228263855,nan,nan,nan,0.0,0.0,nan,0.0022841528989374638,0.0,0.0,0.1241246908903122,0.9780219793319702,0.5075445771217346,0.5043859481811523
49,1,1.0,0.9698734283447266,nan,nan,nan,0.0,0.0,nan,0.0022841528989374638,0.0,0.0,0.1366344839334488,0.9816849827766418,0.5116598010063171,0.5109649300575256
50,1,1.0,0.9686570763587952,0.277424156665802,82.81065368652344,nan,0.0,0.0,nan,0.0022841528989374638,0.0,0.0,0.1309605836868286,0.9789377450942993,0.5116598010063171,0.5131579041481018
51,1,1.0,0.9713563919067383,nan,nan,nan,0.0,0.0,nan,0.0022841528989374638,0.0,0.0,0.12848171591758728,0.9771062135696411,0.5020576119422913,0.5087719559669495
52,1,1.0,0.9731160402297974,nan,nan,nan,0.0,0.0,nan,0.0022841528989374638,0.0,0.0,0.12619361281394958,0.9771062135696411,0.4993141293525696,0.5021929740905762
53,1,1.0,0.9785917401313782,nan,nan,nan,0.0,0.0,nan,0.0022841528989374638,0.0,0.0,0.14903059601783752,0.9780219793319702,0.5048010945320129,0.5087719559669495
54,1,1.0,0.9808485507965088,nan,nan,nan,0.0,0.0,nan,0.0022841528989374638,0.0,0.0,0.14841938018798828,0.9752747416496277,0.5102880597114563,0.5219298005104065
55,1,1.0,0.9866510033607483,0.28273805975914,77.26983642578125,nan,0.0,0.0,nan,0.0022841528989374638,0.0,0.0,0.14768026769161224,0.971611738204956,0.5322359204292297,0.5197368264198303
56,1,1.0,0.9938563704490662,nan,nan,nan,0.0,0.0,nan,0.0022841528989374638,0.0,0.0,0.16229669749736786,0.9807692170143127,0.513031542301178,0.515350878238678
57,1,1.0,0.99698406457901,nan,nan,nan,0.0,0.0,nan,0.0022841528989374638,0.0,0.0,0.13491597771644592,0.9835164546966553,0.5075445771217346,0.5109649300575256
58,1,1.0,0.9981924891471863,nan,nan,nan,0.0,0.0,nan,0.0022841528989374638,0.0,0.0,0.13537944853305817,0.9771062135696411,0.5034293532371521,0.5021929740905762
59,1,1.0,0.9986395835876465,nan,nan,nan,0.0,0.0,nan,0.0022841528989374638,0.0,0.0,0.12143991142511368,0.9789377450942993,0.5020576119422913,0.5043859481811523
60,1,1.0,0.9986585378646851,0.19979296624660492,69.4432601928711,nan,0.0,0.0,nan,0.0022841528989374638,0.0,0.0,0.13189199566841125,0.9835164546966553,0.513031542301178,0.5065789222717285
61,1,1.0,0.9985365271568298,nan,nan,nan,0.0,0.0,nan,0.0022841528989374638,0.0,0.0,0.11449798941612244,0.9771062135696411,0.5185185074806213,0.4934210479259491
62,1,1.0,0.9983217120170593,nan,nan,nan,0.0,0.0,nan,0.0022841528989374638,0.0,0.0,0.1118081584572792,0.9752747416496277,0.5267489552497864,0.5021929740905762
63,1,1.0,0.9980273842811584,nan,nan,nan,0.0,0.0,nan,0.0022841528989374638,0.0,0.0,0.12311028689146042,0.9752747416496277,0.5226337313652039,0.5021929740905762
64,1,1.0,0.9977637529373169,nan,nan,nan,0.0,0.0,nan,0.0022841528989374638,0.0,0.0,0.1266595870256424,0.9807692170143127,0.5198902487754822,0.5131579041481018
65,1,1.0,0.9973338842391968,0.25759491324424744,67.71781921386719,nan,0.0,0.0,nan,0.0022841528989374638,0.0,0.0,0.11346139758825302,0.9816849827766418,0.5171467661857605,0.5087719559669495
66,1,1.0,0.9966090321540833,nan,nan,nan,0.0,0.0,nan,0.0022841528989374638,0.0,0.0,0.10849863290786743,0.9807692170143127,0.5020576119422913,0.5087719559669495
