epoch,enable_rewire,tau,keep_rate,lambda2_norm_est,dirichlet_mean,lambda2_cvar,budget_violation,spectral_violation,dual_budget,dual_spectral,loss,train_acc,val_acc,test_acc
51,1,1.0,0.9618996977806091,nan,nan,0.2303556501865387,0.0,0.0,0.0,0.0,0.1156780868768692,0.9871794581413269,0.5610425472259521,0.5197368264198303
52,1,1.0,0.9533419013023376,nan,nan,0.20341411232948303,0.0,0.0,0.0,0.0,0.11694061011075974,0.988095223903656,0.5651577711105347,0.5328947305679321
53,1,1.0,0.9429792165756226,nan,nan,0.17217124998569489,0.0,0.0,0.0,0.0,0.10011869668960571,0.9890109896659851,0.5637860298156738,0.530701756477356
54,1,1.0,0.9308356642723083,nan,nan,0.19906088709831238,0.0,0.0,0.0,0.0,0.08231399208307266,0.9908424615859985,0.5637860298156738,0.5438596606254578
55,1,1.0,0.9192124605178833,0.21874864399433136,68.01831817626953,0.2050020694732666,0.0,0.0,0.0,0.0,0.10085674375295639,0.9899267554283142,0.5651577711105347,0.5460526347160339
56,1,1.0,0.9061119556427002,nan,nan,0.19142162799835205,0.0,0.0,0.0,0.0,0.10102243721485138,0.9899267554283142,0.5610425472259521,0.5482456088066101
57,1,1.0,0.8958938717842102,nan,nan,0.22347968816757202,0.0,0.0,0.0,0.0,0.09011366963386536,0.9899267554283142,0.5596708059310913,0.5482456088066101
58,1,1.0,0.890235185623169,nan,nan,0.2288048416376114,0.0,0.0,0.0,0.0,0.08698008954524994,0.9908424615859985,0.5610425472259521,0.5548245906829834
59,1,1.0,0.8893097639083862,nan,nan,0.18665313720703125,0.0,0.0,0.0,0.0,0.09219089150428772,0.9908424615859985,0.5679012537002563,0.5548245906829834
60,1,1.0,0.8887227177619934,0.17387226223945618,61.1386833190918,0.21564868092536926,0.0,0.0,0.0,0.0,0.10580039024353027,0.9926739931106567,0.5692729949951172,0.5416666865348816
