epoch,enable_rewire,tau,keep_rate,lambda2_norm_est,dirichlet_mean,lambda2_cvar,budget_violation_lo,budget_violation_hi,spectral_violation,dual_budget_lo,dual_budget_hi,dual_spectral,loss,train_acc,val_acc,test_acc
1,0,1.0,1.0,nan,nan,nan,nan,nan,nan,nan,nan,nan,1.6170541048049927,0.22069597244262695,0.24417009949684143,0.22368420660495758
2,0,1.0,1.0,nan,nan,nan,nan,nan,nan,nan,nan,nan,1.5687634944915771,0.38553112745285034,0.33470508456230164,0.3179824650287628
3,0,1.0,1.0,nan,nan,nan,nan,nan,nan,nan,nan,nan,1.5011624097824097,0.4606226980686188,0.3566529452800751,0.3815789520740509
4,0,1.0,1.0,nan,nan,nan,nan,nan,nan,nan,nan,nan,1.4139180183410645,0.523809552192688,0.4266118109226227,0.41885966062545776
5,0,1.0,1.0,nan,nan,nan,nan,nan,nan,nan,nan,nan,1.303462266921997,0.6034798622131348,0.4691357910633087,0.4517543911933899
6,0,1.0,1.0,nan,nan,nan,nan,nan,nan,nan,nan,nan,1.1720058917999268,0.6336996555328369,0.4609053432941437,0.44736841320991516
7,0,1.0,1.0,nan,nan,nan,nan,nan,nan,nan,nan,nan,1.067057490348816,0.6730769276618958,0.4924554228782654,0.48903509974479675
8,0,1.0,1.0,nan,nan,nan,nan,nan,nan,nan,nan,nan,0.9657793045043945,0.6868131756782532,0.5185185074806213,0.48903509974479675
9,0,1.0,1.0,nan,nan,nan,nan,nan,nan,nan,nan,nan,0.9015849828720093,0.7152014374732971,0.5363511443138123,0.5
10,0,1.0,1.0,nan,nan,nan,nan,nan,nan,nan,nan,nan,0.8074832558631897,0.7545787692070007,0.5596708059310913,0.5
11,0,1.0,1.0,nan,nan,nan,nan,nan,nan,nan,nan,nan,0.7320687174797058,0.7692307829856873,0.5089163184165955,0.4934210479259491
12,0,1.0,1.0,nan,nan,nan,nan,nan,nan,nan,nan,nan,0.709970235824585,0.8095238208770752,0.5336076617240906,0.5021929740905762
13,0,1.0,1.0,nan,nan,nan,nan,nan,nan,nan,nan,nan,0.6533719897270203,0.8351648449897766,0.5404663681983948,0.5175438523292542
14,0,1.0,1.0,nan,nan,nan,nan,nan,nan,nan,nan,nan,0.5892083048820496,0.8580586314201355,0.5253772139549255,0.5175438523292542
15,0,1.0,1.0,nan,nan,nan,nan,nan,nan,nan,nan,nan,0.5205771327018738,0.8736263513565063,0.5198902487754822,0.5175438523292542
16,0,1.0,1.0,nan,nan,nan,nan,nan,nan,nan,nan,nan,0.4891318380832672,0.8653846383094788,0.5089163184165955,0.49561402201652527
17,0,1.0,1.0,nan,nan,nan,nan,nan,nan,nan,nan,nan,0.45319947600364685,0.8846153616905212,0.5116598010063171,0.5043859481811523
18,0,1.0,1.0,nan,nan,nan,nan,nan,nan,nan,nan,nan,0.4337491989135742,0.8910256624221802,0.5185185074806213,0.4868420958518982
19,0,1.0,1.0,nan,nan,nan,nan,nan,nan,nan,nan,nan,0.4044555127620697,0.9029303789138794,0.513031542301178,0.5065789222717285
20,0,1.0,1.0,nan,nan,nan,nan,nan,nan,nan,nan,nan,0.37624937295913696,0.9166666865348816,0.5171467661857605,0.515350878238678
21,1,1.0,0.6453050374984741,nan,nan,0.31281137466430664,0.0,0.19530504941940308,0.0,0.0,0.0,0.0,0.34446442127227783,0.9139193892478943,0.513031542301178,0.515350878238678
22,1,1.0,0.44123759865760803,nan,nan,0.38473719358444214,0.0,0.0,0.0,0.0,0.0018630021950230002,0.0,0.36941102147102356,0.9230769276618958,0.5048010945320129,0.5219298005104065
23,1,1.0,0.3582991659641266,nan,nan,0.28016602993011475,0.0,0.0,0.0,0.0,0.0018630021950230002,0.0,0.3121548295021057,0.9258241653442383,0.4993141293525696,0.5131579041481018
24,1,1.0,0.3394785225391388,nan,nan,0.3088919520378113,0.010521471500396729,0.0,0.0,9.840071288635954e-05,0.0018630021950230002,0.0,0.28658226132392883,0.942307710647583,0.5116598010063171,0.515350878238678
25,1,1.0,0.37423714995384216,0.3687496781349182,49.35237121582031,0.2782246470451355,0.0,0.0,0.0,0.00043824969907291234,0.0018630021950230002,0.0,0.26907557249069214,0.9377289414405823,0.5185185074806213,0.5087719559669495
26,1,1.0,0.4022224247455597,nan,nan,0.3348545730113983,0.0,0.0,0.0,0.00044658748083747923,0.0018630021950230002,0.0,0.25299131870269775,0.9441391825675964,0.5240054726600647,0.5021929740905762
27,1,1.0,0.4232257306575775,nan,nan,0.270488977432251,0.0,0.0,0.0,0.00044658748083747923,0.0018630021950230002,0.0,0.2449011653661728,0.9505494236946106,0.5185185074806213,0.5087719559669495
28,1,1.0,0.4260280728340149,nan,nan,0.2505337595939636,0.0,0.0,0.0,0.00044658748083747923,0.0018630021950230002,0.0,0.23776502907276154,0.9569597244262695,0.5171467661857605,0.515350878238678
29,1,1.0,0.42608311772346497,nan,nan,0.24500012397766113,0.0,0.0,0.0,0.00044658748083747923,0.0018630021950230002,0.0,0.2243519276380539,0.9505494236946106,0.5253772139549255,0.5175438523292542
30,1,1.0,0.42511460185050964,0.3266821801662445,62.01110076904297,0.25257784128189087,0.0,0.0,0.0,0.00044658748083747923,0.0018630021950230002,0.0,0.20555441081523895,0.9404761791229248,0.5198902487754822,0.5
31,1,1.0,0.4310280680656433,nan,nan,0.3140019178390503,0.0,0.0,0.0,0.00044658748083747923,0.0018630021950230002,0.0,0.23383384943008423,0.9413919448852539,0.5185185074806213,0.49780702590942383
32,1,1.0,0.4359278380870819,nan,nan,0.2549999952316284,0.0,0.0,0.0,0.00044658748083747923,0.0018630021950230002,0.0,0.19001860916614532,0.9551281929016113,0.5171467661857605,0.5087719559669495
33,1,1.0,0.4337683320045471,nan,nan,0.2862885296344757,0.0,0.0,0.0,0.00044658748083747923,0.0018630021950230002,0.0,0.21107608079910278,0.9560439586639404,0.513031542301178,0.5
34,1,1.0,0.4388243854045868,nan,nan,0.29605334997177124,0.0,0.0,0.0,0.00044658748083747923,0.0018630021950230002,0.0,0.16781780123710632,0.9569597244262695,0.513031542301178,0.5043859481811523
35,1,1.0,0.43976306915283203,0.4168131947517395,64.06844329833984,0.2584679126739502,0.0,0.0,0.0,0.00044658748083747923,0.0018630021950230002,0.0,0.19820739328861237,0.9624541997909546,0.5185185074806213,0.49561402201652527
36,1,1.0,0.43349403142929077,nan,nan,0.28630685806274414,0.0,0.0,0.0,0.00044658748083747923,0.0018630021950230002,0.0,0.16833439469337463,0.9578754305839539,0.5226337313652039,0.4868420958518982
37,1,1.0,0.42321181297302246,nan,nan,0.3328486382961273,0.0,0.0,0.0,0.00044658748083747923,0.0018630021950230002,0.0,0.15484492480754852,0.9642857313156128,0.5267489552497864,0.5
38,1,1.0,0.41182011365890503,nan,nan,0.24195387959480286,0.0,0.0,0.0,0.00044658748083747923,0.0018630021950230002,0.0,0.1567119061946869,0.9661172032356262,0.5267489552497864,0.5043859481811523
39,1,1.0,0.40545108914375305,nan,nan,0.28689906001091003,0.0,0.0,0.0,0.00044658748083747923,0.0018630021950230002,0.0,0.15084673464298248,0.9697802066802979,0.5075445771217346,0.5021929740905762
40,1,1.0,0.40186607837677,0.38470420241355896,56.233741760253906,0.34658125042915344,0.0,0.0,0.0,0.00044658748083747923,0.0018630021950230002,0.0,0.15682192146778107,0.958791196346283,0.5048010945320129,0.4912280738353729
41,1,1.0,0.3998909890651703,nan,nan,0.30711638927459717,0.0,0.0,0.0,0.00044658748083747923,0.0018630021950230002,0.0,0.16664321720600128,0.9743589758872986,0.5226337313652039,0.5131579041481018
42,1,1.0,0.39002105593681335,nan,nan,0.32260996103286743,0.0,0.0,0.0,0.00044658748083747923,0.0018630021950230002,0.0,0.15315470099449158,0.9780219793319702,0.5102880597114563,0.5043859481811523
43,1,1.0,0.3802843391895294,nan,nan,0.27181488275527954,0.0,0.0,0.0,0.00044658748083747923,0.0018630021950230002,0.0,0.13940110802650452,0.9743589758872986,0.5075445771217346,0.5197368264198303
44,1,1.0,0.3878125846385956,nan,nan,0.28656989336013794,0.0,0.0,0.0,0.00044658748083747923,0.0018630021950230002,0.0,0.16332383453845978,0.9725274443626404,0.5198902487754822,0.515350878238678
45,1,1.0,0.402424693107605,0.325053334236145,48.489871978759766,0.3142412304878235,0.0,0.0,0.0,0.00044658748083747923,0.0018630021950230002,0.0,0.13460461795330048,0.9771062135696411,0.5144032835960388,0.5043859481811523
46,1,1.0,0.4129578471183777,nan,nan,0.3302006125450134,0.0,0.0,0.0,0.00044658748083747923,0.0018630021950230002,0.0,0.15266083180904388,0.9752747416496277,0.5157750248908997,0.5087719559669495
47,1,1.0,0.4081563353538513,nan,nan,0.32248449325561523,0.0,0.0,0.0,0.00044658748083747923,0.0018630021950230002,0.0,0.141750305891037,0.9752747416496277,0.5157750248908997,0.5021929740905762
48,1,1.0,0.38831743597984314,nan,nan,0.2823951244354248,0.0,0.0,0.0,0.00044658748083747923,0.0018630021950230002,0.0,0.1384589672088623,0.9780219793319702,0.513031542301178,0.5065789222717285
49,1,1.0,0.3739098608493805,nan,nan,0.313927561044693,0.0,0.0,0.0,0.00044658748083747923,0.0018630021950230002,0.0,0.129398912191391,0.9725274443626404,0.5116598010063171,0.5087719559669495
