epoch,enable_rewire,tau,keep_rate,lambda2_norm_est,dirichlet_mean,loss,train_acc,val_acc,test_acc
1,0,1.0,1.0,nan,nan,1.6242172718048096,0.21033653616905212,0.1977163404226303,0.19596542418003082
2,0,1.0,1.0,nan,nan,1.6032838821411133,0.21314102411270142,0.20012019574642181,0.19980788230895996
3,0,1.0,1.0,nan,nan,1.5887364149093628,0.26442307233810425,0.2265625,0.22574447095394135
4,0,1.0,1.0,nan,nan,1.562861442565918,0.37660256028175354,0.2836538553237915,0.28818443417549133
5,0,1.0,1.0,nan,nan,1.53054940700531,0.5172275900840759,0.34495192766189575,0.35542747378349304
6,0,1.0,1.0,nan,nan,1.495591640472412,0.5596955418586731,0.34735578298568726,0.3458213210105896
7,0,1.0,1.0,nan,nan,1.4534568786621094,0.5633012652397156,0.35336539149284363,0.3323727250099182
8,0,1.0,1.0,nan,nan,1.4015092849731445,0.6025640964508057,0.36298078298568726,0.35542747378349304
9,0,1.0,1.0,nan,nan,1.3580801486968994,0.6402243375778198,0.3617788553237915,0.3707973062992096
10,0,1.0,1.0,nan,nan,1.3142808675765991,0.6722756624221802,0.39182692766189575,0.369836688041687
11,0,1.0,1.0,nan,nan,1.2549681663513184,0.6846955418586731,0.4110576808452606,0.3957732915878296
12,0,1.0,1.0,nan,nan,1.210845947265625,0.7127403616905212,0.40745192766189575,0.39769452810287476
13,0,1.0,1.0,nan,nan,1.1413912773132324,0.760817289352417,0.4008413553237915,0.39193084836006165
14,0,1.0,1.0,nan,nan,1.0926088094711304,0.7808493375778198,0.39423078298568726,0.38520652055740356
15,0,1.0,1.0,nan,nan,1.0448675155639648,0.7960737347602844,0.39483171701431274,0.40345820784568787
16,0,1.0,1.0,nan,nan,1.007775902748108,0.8044871687889099,0.3978365361690521,0.4015369713306427
17,0,1.0,1.0,nan,nan,0.9492851495742798,0.8209134340286255,0.3978365361690521,0.40345820784568787
18,0,1.0,1.0,nan,nan,0.8921917676925659,0.8421474099159241,0.4014423191547394,0.41018250584602356
19,0,1.0,1.0,nan,nan,0.8528309464454651,0.8705929517745972,0.3990384638309479,0.3957732915878296
20,0,1.0,1.0,nan,nan,0.8062855005264282,0.8866186141967773,0.39423078298568726,0.39193084836006165
21,0,1.0,1.0,nan,nan,0.7762923240661621,0.8962339758872986,0.3978365361690521,0.40345820784568787
22,0,1.0,1.0,nan,nan,0.7333881258964539,0.9086538553237915,0.3954326808452606,0.39865514636039734
23,0,1.0,1.0,nan,nan,0.6991757750511169,0.9106570482254028,0.3960336446762085,0.40345820784568787
24,0,1.0,1.0,nan,nan,0.6613339185714722,0.9162660241127014,0.3984375,0.4073006808757782
25,0,1.0,1.0,nan,nan,0.6363023519515991,0.932692289352417,0.3960336446762085,0.4130643606185913
26,0,1.0,1.0,nan,nan,0.5993589758872986,0.9431089758872986,0.39483171701431274,0.40345820784568787
27,0,1.0,1.0,nan,nan,0.5759772062301636,0.9475160241127014,0.4014423191547394,0.40441882610321045
28,0,1.0,1.0,nan,nan,0.5473442673683167,0.9499198794364929,0.3960336446762085,0.4024975895881653
29,0,1.0,1.0,nan,nan,0.5180251598358154,0.948317289352417,0.39182692766189575,0.4073006808757782
